,APT_ICAO,YEAR,MONTH_NUM,FLT_MEAN,FLT_MEAN_DEP,FLT_MEAN_ARR
50,EGKK,2023,3,609.4516129032259,304.93548387096774,304.51612903225805
51,EGKK,2023,4,699.0,349.53333333333336,349.46666666666664
52,EGKK,2023,5,754.7741935483871,377.4516129032258,377.3225806451613
53,EGKK,2023,6,810.3,405.2,405.1
54,EGKK,2023,7,847.7096774193549,424.06451612903226,423.64516129032256
55,EGKK,2023,8,838.9677419354839,419.3225806451613,419.64516129032256
56,EGKK,2023,9,831.2333333333333,415.5,415.73333333333335
57,EGKK,2023,10,771.5806451612904,385.7096774193548,385.8709677419355
58,EGKK,2023,11,555.3333333333334,277.6333333333333,277.7
59,EGKK,2023,12,640.7096774193549,320.1290322580645,320.5806451612903
60,EGKK,2024,1,512.0967741935484,255.8709677419355,256.2258064516129
61,EGKK,2024,2,608.7586206896551,304.41379310344826,304.3448275862069
62,EGKK,2024,3,646.0967741935484,323.0,323.0967741935484
63,EGKK,2024,4,732.2666666666667,366.2,366.06666666666666
64,EGKK,2024,5,784.6774193548387,392.258064516129,392.4193548387097
65,EGKK,2024,6,829.3,414.6333333333333,414.6666666666667
66,EGKK,2024,7,851.516129032258,425.93548387096774,425.5806451612903
67,EGKK,2024,8,860.4193548387096,430.258064516129,430.16129032258067
68,EGKK,2024,9,854.6333333333333,427.1666666666667,427.46666666666664
69,EGKK,2024,10,794.4193548387096,396.80645161290323,397.61290322580646
70,EGKK,2024,11,572.4,286.4,286.0
71,EGKK,2024,12,650.2258064516129,325.06451612903226,325.16129032258067
72,EGLL,2023,1,1134.6774193548388,567.1935483870968,567.483870967742
73,EGLL,2023,2,1168.2857142857142,584.2857142857143,584.0
74,EGLL,2023,3,1189.8064516129032,594.6774193548387,595.1290322580645
75,EGLL,2023,4,1248.2666666666667,623.9666666666667,624.3
76,EGLL,2023,5,1280.0967741935483,639.9354838709677,640.1612903225806
77,EGLL,2023,6,1279.4666666666667,639.4333333333333,640.0333333333333
78,EGLL,2023,7,1310.3870967741937,654.8709677419355,655.516129032258
79,EGLL,2023,8,1294.516129032258,646.9677419354839,647.5483870967741
80,EGLL,2023,9,1314.2333333333333,657.1666666666666,657.0666666666667
81,EGLL,2023,10,1304.774193548387,652.2903225806451,652.483870967742
82,EGLL,2023,11,1260.5666666666666,630.2,630.3666666666667
83,EGLL,2023,12,1226.0967741935483,612.9354838709677,613.1612903225806
84,EGLL,2024,1,1201.1935483870968,600.483870967742,600.7096774193549
85,EGLL,2024,2,1257.5862068965516,628.6896551724138,628.8965517241379
86,EGLL,2024,3,1283.225806451613,641.7096774193549,641.516129032258
87,EGLL,2024,4,1311.0,655.2333333333333,655.7666666666667
88,EGLL,2024,5,1332.9354838709678,666.483870967742,666.4516129032259
89,EGLL,2024,6,1335.1666666666667,667.4666666666667,667.7
90,EGLL,2024,7,1346.6129032258063,673.0322580645161,673.5806451612904
91,EGLL,2024,8,1348.0645161290322,674.1290322580645,673.9354838709677
92,EGLL,2024,9,1339.1666666666667,669.3333333333334,669.8333333333334
93,EGLL,2024,10,1327.5806451612902,663.8709677419355,663.7096774193549
94,EGLL,2024,11,1275.7333333333333,637.9666666666667,637.7666666666667
95,EGLL,2024,12,1259.0,629.4193548387096,629.5806451612904
96,EHAM,2023,1,1001.483870967742,500.7096774193548,500.7741935483871
97,EHAM,2023,2,1050.5,525.25,525.25
98,EHAM,2023,3,1117.1612903225807,558.6451612903226,558.516129032258
99,EHAM,2023,4,1258.2333333333333,628.8666666666667,629.3666666666667
100,EHAM,2023,5,1331.8064516129032,665.741935483871,666.0645161290323
101,EHAM,2023,6,1355.4,678.0333333333333,677.3666666666667
102,EHAM,2023,7,1371.1935483870968,685.7741935483871,685.4193548387096
103,EHAM,2023,8,1381.774193548387,690.6774193548387,691.0967741935484
104,EHAM,2023,9,1396.5,698.2333333333333,698.2666666666667
105,EHAM,2023,10,1383.9354838709678,692.0645161290323,691.8709677419355
106,EHAM,2023,11,1216.8666666666666,607.5666666666667,609.3
107,EHAM,2023,12,1185.516129032258,593.7096774193549,591.8064516129032
108,EHAM,2024,1,1160.0967741935483,579.9354838709677,580.1612903225806
109,EHAM,2024,2,1247.3103448275863,624.4137931034483,622.8965517241379
110,EHAM,2024,3,1270.6451612903227,635.3548387096774,635.2903225806451
111,EHAM,2024,4,1343.5,671.5,672.0
112,EHAM,2024,5,1404.258064516129,702.4193548387096,701.8387096774194
113,EHAM,2024,6,1415.0333333333333,707.2666666666667,707.7666666666667
114,EHAM,2024,7,1415.0967741935483,707.8387096774194,707.258064516129
115,EHAM,2024,8,1433.967741935484,717.0322580645161,716.9354838709677
116,EHAM,2024,9,1438.5333333333333,719.0,719.5333333333333
117,EHAM,2024,10,1397.4193548387098,698.8709677419355,698.5483870967741
118,EHAM,2024,11,1262.7666666666667,631.4666666666667,631.3
119,EHAM,2024,12,1244.4516129032259,622.3225806451613,622.1290322580645
120,EIDW,2023,1,545.1612903225806,272.6774193548387,272.48387096774195
121,EIDW,2023,2,558.7142857142857,279.10714285714283,279.60714285714283
122,EIDW,2023,3,598.1290322580645,299.4516129032258,298.6774193548387
123,EIDW,2023,4,672.2,336.03333333333336,336.1666666666667
124,EIDW,2023,5,712.483870967742,356.16129032258067,356.3225806451613
125,EIDW,2023,6,730.0666666666667,365.06666666666666,365.0
126,EIDW,2023,7,739.9677419354839,370.06451612903226,369.9032258064516
127,EIDW,2023,8,737.258064516129,368.5806451612903,368.6774193548387
128,EIDW,2023,9,747.4666666666667,373.6666666666667,373.8
129,EIDW,2023,10,716.6774193548387,358.258064516129,358.4193548387097
130,EIDW,2023,11,572.9,286.3666666666667,286.53333333333336
131,EIDW,2023,12,594.3666666666667,297.06666666666666,297.3
132,EIDW,2024,1,540.7096774193549,270.0967741935484,270.61290322580646
133,EIDW,2024,2,557.9310344827586,279.0,278.9310344827586
134,EIDW,2024,3,621.0645161290323,310.741935483871,310.3225806451613
135,EIDW,2024,4,688.3666666666667,344.1,344.26666666666665
136,EIDW,2024,5,742.1290322580645,370.96774193548384,371.16129032258067
137,EIDW,2024,6,749.0,374.5,374.5
138,EIDW,2024,7,751.0645161290323,375.6774193548387,375.38709677419354
139,EIDW,2024,8,764.8709677419355,382.4516129032258,382.4193548387097
140,EIDW,2024,9,758.6666666666666,379.1666666666667,379.5
141,EIDW,2024,10,692.258064516129,345.96774193548384,346.2903225806452
142,EIDW,2024,11,571.6666666666666,286.0,285.6666666666667
143,EIDW,2024,12,571.6666666666666,285.76666666666665,285.9
144,EKCH,2023,1,497.38709677419354,248.93548387096774,248.4516129032258
145,EKCH,2023,2,538.25,268.92857142857144,269.32142857142856
146,EKCH,2023,3,583.516129032258,291.4516129032258,292.06451612903226
147,EKCH,2023,4,626.4,313.23333333333335,313.1666666666667
148,EKCH,2023,5,665.6451612903226,332.6774193548387,332.96774193548384
149,EKCH,2023,6,689.0666666666667,344.1,344.96666666666664
150,EKCH,2023,7,673.6774193548387,336.80645161290323,336.8709677419355
151,EKCH,2023,8,678.1612903225806,339.2258064516129,338.93548387096774
152,EKCH,2023,9,710.1666666666666,354.8333333333333,355.3333333333333
153,EKCH,2023,10,695.9032258064516,347.93548387096774,347.96774193548384
154,EKCH,2023,11,576.6666666666666,288.46666666666664,288.2
155,EKCH,2023,12,534.516129032258,266.80645161290323,267.7096774193548
156,EKCH,2024,1,501.2903225806452,250.8709677419355,250.41935483870967
157,EKCH,2024,2,558.3103448275862,279.2413793103448,279.0689655172414
158,EKCH,2024,3,589.1935483870968,294.19354838709677,295.0
159,EKCH,2024,4,688.9666666666667,344.6,344.3666666666667
160,EKCH,2024,5,719.9354838709677,359.80645161290323,360.1290322580645
161,EKCH,2024,6,747.5,373.56666666666666,373.93333333333334
162,EKCH,2024,7,736.741935483871,368.258064516129,368.48387096774195
163,EKCH,2024,8,726.9677419354839,363.4193548387097,363.5483870967742
164,EKCH,2024,9,746.2333333333333,373.3,372.93333333333334
165,EKCH,2024,10,716.0645161290323,358.0,358.06451612903226
166,EKCH,2024,11,601.3333333333334,300.46666666666664,300.8666666666667
167,EKCH,2024,12,557.0322580645161,278.4193548387097,278.61290322580646
168,ENGM,2023,1,495.0,247.90322580645162,247.09677419354838
169,ENGM,2023,2,519.5714285714286,259.75,259.82142857142856
170,ENGM,2023,3,578.0645161290323,289.03225806451616,289.03225806451616
171,ENGM,2023,4,578.7666666666667,289.26666666666665,289.5
172,ENGM,2023,5,621.6451612903226,310.6774193548387,310.96774193548384
173,ENGM,2023,6,674.7,337.5,337.2
174,ENGM,2023,7,626.6451612903226,313.2258064516129,313.4193548387097
175,ENGM,2023,8,647.0,323.741935483871,323.258064516129
176,ENGM,2023,9,673.8,336.8,337.0
177,ENGM,2023,10,644.516129032258,322.5806451612903,321.93548387096774
178,ENGM,2023,11,561.3,280.6,280.7
179,ENGM,2023,12,477.06451612903226,238.16129032258064,238.90322580645162
180,ENGM,2024,1,467.7741935483871,233.96774193548387,233.80645161290323
181,ENGM,2024,2,523.1034482758621,261.7241379310345,261.37931034482756
182,ENGM,2024,3,547.3548387096774,273.5483870967742,273.80645161290323
183,ENGM,2024,4,635.1666666666666,317.6666666666667,317.5
184,ENGM,2024,5,639.0322580645161,319.5806451612903,319.4516129032258
185,ENGM,2024,6,678.8,339.3333333333333,339.46666666666664
186,ENGM,2024,7,636.5806451612904,318.16129032258067,318.4193548387097
187,ENGM,2024,8,648.3870967741935,324.258064516129,324.1290322580645
188,ENGM,2024,9,690.3666666666667,345.3333333333333,345.03333333333336
189,ENGM,2024,10,648.8709677419355,324.48387096774195,324.38709677419354
190,ENGM,2024,11,570.6666666666666,285.26666666666665,285.4
