Year,APT_ICAO,Airline,En_Route,Miscellaneous,Government,Weather
2024,GCTS,109303,72343,11798,11781,16315
2023,GCRR,62395,52591,7466,4989,2360
2024,GCRR,63568,49585,4699,18468,7240
2024,GCLP,172027,75437,14602,7104,9853
2023,GCLP,118973,63851,11661,4717,2632
2024,GCLA,7293,3113,2316,14,2654
2023,GCLA,3060,1796,223,36,1011
2024,GCHI,2917,112,301,7,301
2023,GCHI,3016,104,156,35,276
2023,GCGM,737,116,75,18,99
2024,GCGM,1398,201,169,31,65
2023,GCFV,39197,32554,4246,1681,2483
2024,GCFV,46874,38623,3069,1251,2880
2023,EYVI,31641,10125,4479,905,16050
2024,EYVI,34224,13540,4695,1168,13349
2023,EYSA,0,0,0,0,0
2024,EYSA,0,0,115,0,0
2024,EYPA,2527,479,1026,123,1160
2023,EYPA,3060,165,871,105,1619
2023,EYKA,10950,4083,6293,471,4644
2024,EYKA,14023,4454,6716,301,4763
2023,EVRA,173318,9146,9038,1831,11976
2024,EVRA,119939,15044,4164,2993,13552
2024,EVLA,10,0,0,0,0
2023,ESSB,1035,212,213,26,1368
2024,ESSB,1074,0,1,0,241
2023,ESSA,261335,66021,21553,16604,106594
2024,ESSA,189159,67132,15182,12051,73204
2024,ESGG,48414,27967,4363,2228,20729
2023,ESGG,54948,24535,3514,2683,19770
2023,EPZG,258,79,11,5,447
2024,EPZG,800,89,6,0,315
2023,EPWR,29276,13105,1282,1787,6230
2024,EPWR,37504,20486,1226,2495,8548
2023,EPWA,270997,106283,13081,14764,20767
2024,EPWA,315775,172506,9602,12432,31457
2024,EPSY,652,54,35,0,166
2023,EPSY,386,93,143,26,267
2023,EPSC,4436,1363,1803,51,2101
2024,EPSC,5809,1045,1788,32,972
2023,EPRZ,10082,3333,850,178,1329
2024,EPRZ,12421,3919,964,344,1922
2023,EPRA,782,182,0,23,156
2024,EPRA,484,710,45,0,7
2023,EPPO,18136,10173,1026,575,4062
2024,EPPO,23917,16562,876,1019,4943
2023,EPMO,21009,17665,55,1231,2421
2024,EPMO,20136,21451,413,1101,5259
2024,EPLL,5795,2295,2505,147,1057
2023,EPLL,6636,1671,2197,133,968
2023,EPLB,2962,592,206,8,301
2024,EPLB,4671,1652,192,98,2692
2023,EPKT,34300,12905,5475,1274,4895
2024,EPKT,33227,26435,4451,2090,7030
2023,EPKK,63219,51049,10885,5898,48901
2024,EPKK,87841,74349,9261,9951,41289
2024,EPGD,45411,22541,5120,2571,13227
2023,EPGD,43964,13444,3732,1828,19193
2024,EPBY,4190,1172,350,10,1027
2023,EPBY,5718,790,92,103,1127
2024,ENZV,30975,2665,1135,840,9683
2023,ENZV,34643,3693,1650,1467,6847
2024,ENVD,1268,0,0,55,620
2023,ENVD,2779,0,0,52,1220
2024,ENVA,41556,3040,1277,1183,6958
2023,ENVA,47091,1525,4358,1356,5931
2023,ENTC,46858,1081,1360,4046,10919
2024,ENTC,40874,1993,1884,6092,12852
2024,ENST,822,19,0,214,55
2023,ENST,1553,27,0,106,177
2024,ENSS,343,0,0,0,20
2023,ENSS,383,0,0,9,294
2023,ENSR,270,0,0,0,182
2024,ENSR,126,0,0,6,12
2023,ENSK,1991,0,0,3,157
2024,ENSK,1323,0,0,14,35
2024,ENSH,594,0,0,16,250
2023,ENSH,1542,0,0,42,513
2023,ENSG,1116,515,0,46,376
2024,ENSG,647,247,0,27,373
2024,ENSD,463,0,0,0,463
2023,ENSD,932,76,0,0,519
2024,ENSB,2729,33,345,122,301
2023,ENSB,1875,90,141,239,781
2023,ENRS,259,0,0,0,0
2024,ENRS,163,0,0,0,25
2023,ENRO,287,36,0,0,235
2024,ENRO,71,22,0,0,72
2024,ENRM,74,0,0,0,40
2023,ENRM,314,0,0,11,88
2024,ENRA,1104,44,0,76,604
2023,ENRA,2248,28,0,146,1392
2023,ENOV,1897,80,0,486,762
2024,ENOV,2162,369,0,130,1651
2023,ENNM,434,0,0,0,112
2024,ENNM,87,0,0,11,10
2023,ENNA,617,46,87,50,193
2024,ENNA,403,0,29,0,332
2023,ENMS,1889,57,2,99,345
2024,ENMS,817,48,0,14,80
2023,ENML,5064,226,289,15,892
2024,ENML,3459,629,251,29,666
2023,ENMH,297,0,0,17,121
2024,ENMH,113,0,0,40,137
2023,ENLK,1029,0,0,98,169
2024,ENLK,844,0,0,53,131
2024,ENKR,4553,0,343,163,1005
2023,ENKR,5005,0,333,312,1032
2023,ENKB,1039,31,92,25,1579
2024,ENKB,2562,891,133,1,1456
2024,ENHV,292,0,0,0,18
2023,ENHV,813,0,0,6,248
2024,ENHF,1801,4,0,34,417
2023,ENHF,1254,12,0,31,1180
2023,ENHD,5373,740,23,148,728
2024,ENHD,5757,1496,307,31,1793
2023,ENGM,250455,19827,27679,15305,42682
2024,ENGM,249675,23091,26649,12249,48782
2023,ENFL,1400,27,0,41,173
2024,ENFL,566,0,0,42,144
2023,ENEV,8615,199,484,153,960
2024,ENEV,9100,244,313,283,2369
2024,ENDU,1008,394,105,72,662
2023,ENDU,2238,42,132,301,451
2024,ENCN,10486,1517,479,77,2081
2023,ENCN,9073,833,771,60,1606
2023,ENBV,190,0,0,4,119
2024,ENBV,55,0,0,6,115
2023,ENBS,561,0,0,11,139
2024,ENBS,184,0,0,0,57
2024,ENBR,86950,6475,3677,2739,16223
2023,ENBR,112931,6446,3458,3635,13858
2024,ENBO,38197,262,1283,1010,7785
2023,ENBO,51025,100,1320,915,6655
2024,ENBN,1285,0,0,31,281
2023,ENBN,2123,12,0,20,90
2023,ENBL,2059,124,0,66,415
2024,ENBL,982,373,0,33,872
2023,ENAT,5515,211,66,169,834
2024,ENAT,4582,288,115,120,700
2024,ENAN,1191,0,63,39,276
2023,ENAN,1473,0,24,15,726
2023,ENAL,11499,525,1023,173,1938
2024,ENAL,11566,1034,745,68,2422
2023,ELLX,85102,50979,8971,2337,24296
2024,ELLX,96262,37994,3748,3587,27248
2023,EKCH,298970,60620,17846,16690,18636
2024,EKCH,260355,61082,19143,14067,29251
2023,EINN,19975,7564,557,622,4460
2024,EINN,19189,5560,216,934,9897
2024,EIKY,7327,900,4601,395,1854
2023,EIKY,8385,2317,5136,266,725
2023,EIKN,13796,2688,6929,235,1692
2024,EIKN,12393,2777,6472,359,1913
2023,EIDW,465603,221091,7958,30266,59545
2024,EIDW,344146,148447,7510,27025,101117
2023,EICK,29566,11796,362,816,9351
2024,EICK,26689,9877,223,1066,14227
2023,EHRD,9958,4185,2080,232,1273
2024,EHRD,48971,13150,11510,2072,2086
2023,EHGG,540,274,0,0,222
2024,EHGG,454,276,71,19,93
2024,EHBK,2966,1827,383,35,1014
2023,EHBK,3718,2736,23,351,1073
2023,EHAM,1208386,226728,31823,38797,77148
2024,EHAM,1164721,281510,41051,36733,70590
2024,EGSS,335264,182914,5334,16568,33023
2023,EGSS,321403,195586,1699,18555,41230
2024,EGPH,149712,36842,5814,9233,20877
2023,EGPH,181580,49568,5651,10835,16531
2023,EGPF,47780,18025,1058,2801,11806
2024,EGPF,73394,19295,2099,3475,13500
2023,EGPD,13679,2392,430,314,6635
2024,EGPD,11445,2107,413,770,6219
2024,EGNX,28974,15956,276,1484,3668
2023,EGNX,27907,17666,381,1151,2772
2023,EGNT,33106,9909,1575,1943,5089
2024,EGNT,29842,12764,1305,1508,5159
2024,EGLL,182624,75328,14289,21990,27400
2023,EGLL,247401,85129,12899,23388,37674
2024,EGLF,241,0,0,0,0
2023,EGLF,150,0,0,0,0
2023,EGLC,15123,4805,513,757,7227
2024,EGLC,15520,9781,235,1300,6822
2023,EGKK,589840,307873,21972,32572,41848
2024,EGKK,461738,341604,20742,40231,54921
2023,EGKB,405,0,0,0,0
2024,EGKB,132,0,0,0,0
2024,EGHI,2878,1674,51,64,853
2023,EGHI,1113,317,74,112,1060
2024,EGGW,185104,107294,14565,12254,32429
2023,EGGW,201837,107133,31059,10840,21550
2023,EGGD,130303,76981,4849,8810,18907
2024,EGGD,110831,81732,2496,6475,20467
2024,EGCC,249622,148663,8287,17476,43591
2023,EGCC,273501,122758,5841,20897,45288
2023,EGBB,138400,41781,6409,7874,17193
2024,EGBB,143682,62527,5075,13594,16478
2023,EGAE,45,0,0,3,64
2024,EGAE,70,2,0,0,29
2024,EGAC,6014,2186,192,375,4269
2023,EGAC,5349,2776,67,474,2143
2024,EGAA,53782,11367,413,4301,10703
2023,EGAA,69427,13842,527,3144,8507
2023,EFHK,154322,15893,10587,17181,23703
2024,EFHK,241836,23874,10015,25765,61749
2024,EETU,384,84,2,0,292
2024,EETN,33970,6509,1336,970,12374
2023,EETN,23435,5283,3274,701,19140
2024,EDDW,16680,9711,614,1220,4768
2023,EDDW,15111,12138,1422,1972,5249
2023,EDDV,42424,23610,4373,4423,5863
2024,EDDV,48415,35972,5684,5190,6160
2023,EDDS,89668,71694,9910,24868,18461
2024,EDDS,115655,78569,11895,14108,22314
2023,EDDR,722,3492,108,24,229
2024,EDDR,960,4335,297,25,1159
2024,EDDP,17001,15611,1561,1836,4269
2023,EDDP,11901,10851,898,1643,2567
2023,EDDN,38919,39932,4007,2013,9540
2024,EDDN,36879,39724,2689,2102,7868
2023,EDDM,744482,136089,68036,75138,84032
2024,EDDM,951052,142665,55863,94051,84657
2023,EDDL,334925,155001,31481,32702,27833
2024,EDDL,310486,160259,28282,24109,41346
2023,EDDK,123127,133921,12812,15682,18563
2024,EDDK,127839,143683,11583,16126,28821
2024,EDDH,236629,126690,13839,17978,52549
2023,EDDH,220093,119790,17735,50103,40477
2023,EDDG,11532,7506,3317,485,981
2024,EDDG,16112,12811,2746,690,897
2023,EDDF,1392449,208540,57110,160093,165376
2024,EDDF,1309912,225848,56632,137202,160148
2024,EDDE,1003,257,692,20,70
2023,EDDE,653,216,176,0,81
2024,EDDC,6013,4525,361,343,2384
2023,EDDC,3825,4791,546,259,2697
2024,EDDB,298609,131808,19854,29672,34309
